Title,Author,Genre,Price,Quantity
The Silent Orchard,Amara Voss,Fiction,14.99,117
Whispers of Kaduna,Emeka Obi,Fiction,12.5,66
Quantum Shadows,Dr. Lena Frost,Science,22.0,107
The Last Cartographer,Rhea Sundaram,Adventure,16.75,29
Beneath the Marigold Sky,Priya Nanda,Romance,11.99,86
Code & Cauldron,Samir Patel,Technology,27.5,75
Ashes of Meridian,Tobias Kane,Fantasy,18.99,35
The Grammar of Rivers,Ines Almeida,Poetry,9.99,117
Neural Nights,Wei Zhang,Technology,24.99,97
The Clockmaker's Daughter II,Freya Lindqvist,Historical,15.25,101
Monsoon Ledger,Ravi Deshmukh,Non-Fiction,13.4,89
Echoes in Sepia,Clara Duarte,Mystery,14.2,89
The Algorithm of Grief,Yusuf Demir,Fiction,17.0,102
Saffron and Static,Meera Krishnan,Fiction,12.99,114
Under a Borrowed Moon,Noor Haddad,Romance,10.99,118
The Physics of Forgetting,Dr. Alan Voss,Science,21.5,38
Copper Wire Kingdom,Bashir Aliyu,Fantasy,19.99,17
The Nightshift Gardener,Elin Karlsson,Mystery,13.75,36
Data Dreams,Aditi Rao,Technology,26.0,67
The Salt Road,Marco Ferrante,Adventure,15.99,16
Verses for a Rainy Ledger,Om Prakash,Poetry,8.5,102
The Bureaucrat's Garden,Hana Kobayashi,Non-Fiction,14.6,44
Static Hearts,Divya Menon,Romance,11.25,52
The Iron Archive,Callum Reid,Historical,18.4,16
Ghosts of the Data Center,Sana Iqbal,Technology,25.75,78
The Midnight Ledger,Rohan Malhotra,Fiction,15.99,70
