Date,Title,Quantity Sold,Total Revenue
2026-03-01,Verses for a Rainy Ledger,1,8.5
2026-03-01,The Silent Orchard,2,29.98
2026-03-01,Echoes in Sepia,2,28.4
2026-03-01,The Bureaucrat's Garden,1,14.6
2026-03-01,Echoes in Sepia,5,71.0
2026-03-02,Saffron and Static,1,12.99
2026-03-02,The Nightshift Gardener,1,13.75
2026-03-03,Ashes of Meridian,3,56.97
2026-03-03,Echoes in Sepia,2,28.4
2026-03-03,The Grammar of Rivers,6,59.94
2026-03-03,Under a Borrowed Moon,1,10.99
2026-03-03,Quantum Shadows,1,22.0
2026-03-04,Under a Borrowed Moon,3,32.97
2026-03-04,Verses for a Rainy Ledger,1,8.5
2026-03-04,The Iron Archive,2,36.8
2026-03-05,Data Dreams,7,182.0
2026-03-05,Copper Wire Kingdom,4,79.96
2026-03-05,The Grammar of Rivers,1,9.99
2026-03-05,Quantum Shadows,3,66.0
2026-03-06,Ashes of Meridian,1,18.99
2026-03-06,Neural Nights,4,99.96
2026-03-06,Under a Borrowed Moon,3,32.97
2026-03-06,Under a Borrowed Moon,2,21.98
2026-03-06,The Clockmaker's Daughter II,4,61.0
2026-03-06,The Algorithm of Grief,5,85.0
2026-03-06,Data Dreams,2,52.0
2026-03-07,Quantum Shadows,1,22.0
2026-03-07,Ashes of Meridian,3,56.97
2026-03-08,The Bureaucrat's Garden,3,43.8
2026-03-08,The Iron Archive,1,18.4
2026-03-08,Neural Nights,1,24.99
2026-03-08,The Salt Road,2,31.98
2026-03-09,The Silent Orchard,3,44.97
2026-03-09,The Silent Orchard,3,44.97
2026-03-09,Data Dreams,4,104.0
2026-03-09,Whispers of Kaduna,4,50.0
2026-03-09,Verses for a Rainy Ledger,2,17.0
2026-03-09,Echoes in Sepia,1,14.2
2026-03-10,The Silent Orchard,2,29.98
2026-03-10,The Grammar of Rivers,1,9.99
2026-03-11,The Clockmaker's Daughter II,1,15.25
2026-03-11,Quantum Shadows,1,22.0
2026-03-11,Ashes of Meridian,4,75.96
2026-03-11,The Physics of Forgetting,5,107.5
2026-03-11,The Physics of Forgetting,1,21.5
2026-03-11,Ghosts of the Data Center,2,51.5
2026-03-11,The Salt Road,1,15.99
2026-03-12,Ghosts of the Data Center,3,77.25
2026-03-12,The Nightshift Gardener,1,13.75
2026-03-12,Saffron and Static,2,25.98
2026-03-12,The Nightshift Gardener,3,41.25
2026-03-13,Data Dreams,3,78.0
2026-03-13,The Bureaucrat's Garden,2,29.2
2026-03-13,Static Hearts,3,33.75
2026-03-13,The Bureaucrat's Garden,1,14.6
